时间,排名,热度,标题
19:55,1,4131077,Angelababy回应合照站位
19:55,2,2574200,吉林松原车祸轻型货车上16人死亡
19:55,3,1219438,黄渤 油埃福欧
19:55,4,884813,张常宁转球
19:55,5,757332,甘肃豹猫带4只幼崽巡山
19:55,6,744967,章子怡评夺冠
19:55,7,698447,妈妈给装的行李箱后备箱
19:55,8,632229,诺贝尔生理学或医学奖揭晓
19:55,9,591314,特朗普曾两次短暂血氧饱和度下降
19:55,10,583247,国庆前3天约5000万人次观影
19:56,1,4159222,Angelababy回应合照站位
19:56,2,2166493,吉林松原车祸轻型货车上16人死亡
19:56,3,1186855,黄渤 油埃福欧
19:56,4,876775,张常宁转球
19:56,5,749311,甘肃豹猫带4只幼崽巡山
19:56,6,744497,章子怡评夺冠
19:56,7,668423,妈妈给装的行李箱后备箱
19:56,8,634323,诺贝尔生理学或医学奖揭晓
19:56,9,582889,特朗普曾两次短暂血氧饱和度下降
19:56,10,579864,国庆前3天约5000万人次观影
19:58,1,4198527,Angelababy回应合照站位
19:58,2,2061893,吉林松原车祸轻型货车上16人死亡
19:58,3,1124577,黄渤 油埃福欧
19:58,4,868238,张常宁转球
19:58,5,729880,甘肃豹猫带4只幼崽巡山
19:58,6,679101,章子怡评夺冠
19:58,7,572822,妈妈给装的行李箱后备箱
19:58,8,569858,诺贝尔生理学或医学奖揭晓
19:58,9,568808,特朗普曾两次短暂血氧饱和度下降
19:58,10,568153,国庆前3天约5000万人次观影
19:59,1,4233452,Angelababy回应合照站位
19:59,2,1886062,吉林松原车祸轻型货车上16人死亡
19:59,3,1103139,黄渤 油埃福欧
19:59,4,862070,张常宁转球
19:59,5,723378,甘肃豹猫带4只幼崽巡山
19:59,6,665073,章子怡评夺冠
19:59,7,571356,妈妈给装的行李箱后备箱
19:59,8,565767,诺贝尔生理学或医学奖揭晓
19:59,9,564160,特朗普曾两次短暂血氧饱和度下降
19:59,10,563026,国庆前3天约5000万人次观影
20:00,1,4260679,Angelababy回应合照站位
20:00,2,1622639,吉林松原车祸轻型货车上16人死亡
20:00,3,1094183,黄渤 油埃福欧
20:00,4,854837,张常宁转球
20:00,5,719578,甘肃豹猫带4只幼崽巡山
20:00,6,663477,章子怡评夺冠
20:00,7,561966,妈妈给装的行李箱后备箱
20:00,8,558495,诺贝尔生理学或医学奖揭晓
20:00,9,557331,特朗普曾两次短暂血氧饱和度下降
20:00,10,557206,国庆前3天约5000万人次观影
20:01,1,4272525,Angelababy回应合照站位
20:01,2,2329773,吉林松原车祸轻型货车上16人死亡
20:01,3,1085603,黄渤 油埃福欧
20:01,4,846134,张常宁转球
20:01,5,717633,甘肃豹猫带4只幼崽巡山
20:01,6,666528,章子怡评夺冠
20:01,7,561496,妈妈给装的行李箱后备箱
20:01,8,552720,诺贝尔生理学或医学奖揭晓
20:01,9,551604,特朗普曾两次短暂血氧饱和度下降
20:01,10,551245,国庆前3天约5000万人次观影
20:02,1,4266186,Angelababy回应合照站位
20:02,2,1672563,吉林松原车祸轻型货车上16人死亡
20:02,3,1077271,黄渤 油埃福欧
20:02,4,835718,张常宁转球
20:02,5,710074,甘肃豹猫带4只幼崽巡山
20:02,6,651186,章子怡评夺冠
20:02,7,559744,妈妈给装的行李箱后备箱
20:02,8,543906,诺贝尔生理学或医学奖揭晓
20:02,9,543695,特朗普曾两次短暂血氧饱和度下降
20:02,10,543488,国庆前3天约5000万人次观影
20:03,1,4283265,Angelababy回应合照站位
20:03,2,2314030,吉林松原车祸轻型货车上16人死亡
20:03,3,1070973,黄渤 油埃福欧
20:03,4,829184,张常宁转球
20:03,5,704746,甘肃豹猫带4只幼崽巡山
20:03,6,666188,章子怡评夺冠
20:03,7,557369,妈妈给装的行李箱后备箱
20:03,8,535159,诺贝尔生理学或医学奖揭晓
20:03,9,533929,特朗普曾两次短暂血氧饱和度下降
20:03,10,533853,国庆前3天约5000万人次观影
20:04,1,4300604,Angelababy回应合照站位
20:04,2,2189761,吉林松原车祸轻型货车上16人死亡
20:04,3,1064909,黄渤 油埃福欧
20:04,4,823850,张常宁转球
20:04,5,702382,甘肃豹猫带4只幼崽巡山
20:04,6,650334,章子怡评夺冠
20:04,7,555928,妈妈给装的行李箱后备箱
20:04,8,535897,诺贝尔生理学或医学奖揭晓
20:04,9,530349,特朗普曾两次短暂血氧饱和度下降
20:04,10,529421,国庆前3天约5000万人次观影
20:05,1,4271020,Angelababy回应合照站位
20:05,2,1727955,吉林松原车祸轻型货车上16人死亡
20:05,3,1057361,黄渤 油埃福欧
20:05,4,815583,张常宁转球
20:05,5,701291,甘肃豹猫带4只幼崽巡山
20:05,6,699751,章子怡评夺冠
20:05,7,551851,妈妈给装的行李箱后备箱
20:05,8,536329,诺贝尔生理学或医学奖揭晓
20:05,9,521787,特朗普曾两次短暂血氧饱和度下降
20:05,10,521114,国庆前3天约5000万人次观影
20:06,1,4305507,Angelababy回应合照站位
20:06,2,1799064,吉林松原车祸轻型货车上16人死亡
20:06,3,1058810,黄渤 油埃福欧
20:06,4,816035,张常宁转球
20:06,5,703742,甘肃豹猫带4只幼崽巡山
20:06,6,667282,章子怡评夺冠
20:06,7,553005,妈妈给装的行李箱后备箱
20:06,8,528298,诺贝尔生理学或医学奖揭晓
20:06,9,520975,特朗普曾两次短暂血氧饱和度下降
20:06,10,517215,国庆前3天约5000万人次观影
20:07,1,4328850,Angelababy回应合照站位
20:07,2,2147410,吉林松原车祸轻型货车上16人死亡
20:07,3,1066599,黄渤 油埃福欧
20:07,4,812239,张常宁转球
20:07,5,703287,甘肃豹猫带4只幼崽巡山
20:07,6,675902,章子怡评夺冠
20:07,7,551358,妈妈给装的行李箱后备箱
20:07,8,525826,诺贝尔生理学或医学奖揭晓
20:07,9,517789,特朗普曾两次短暂血氧饱和度下降
20:07,10,514607,国庆前3天约5000万人次观影
20:08,1,4335711,Angelababy回应合照站位
20:08,2,2247908,吉林松原车祸轻型货车上16人死亡
20:08,3,1073781,黄渤 油埃福欧
20:08,4,809435,张常宁转球
20:08,5,705075,甘肃豹猫带4只幼崽巡山
20:08,6,653684,章子怡评夺冠
20:08,7,551633,妈妈给装的行李箱后备箱
20:08,8,514570,诺贝尔生理学或医学奖揭晓
20:08,9,512112,特朗普曾两次短暂血氧饱和度下降
20:08,10,510210,国庆前3天约5000万人次观影
20:09,1,4351338,Angelababy回应合照站位
20:09,2,1935048,吉林松原车祸轻型货车上16人死亡
20:09,3,1082597,黄渤 油埃福欧
20:09,4,806849,张常宁转球
20:09,5,706874,甘肃豹猫带4只幼崽巡山
20:09,6,698520,章子怡评夺冠
20:09,7,553855,妈妈给装的行李箱后备箱
20:09,8,519702,诺贝尔生理学或医学奖揭晓
20:09,9,508262,特朗普曾两次短暂血氧饱和度下降
20:09,10,507873,国庆前3天约5000万人次观影
20:10,1,4361284,Angelababy回应合照站位
20:10,2,2371116,吉林松原车祸轻型货车上16人死亡
20:10,3,1090257,黄渤 油埃福欧
20:10,4,804413,张常宁转球
20:10,5,707303,甘肃豹猫带4只幼崽巡山
20:10,6,687596,章子怡评夺冠
20:10,7,548419,妈妈给装的行李箱后备箱
20:10,8,518772,诺贝尔生理学或医学奖揭晓
20:10,9,504757,特朗普曾两次短暂血氧饱和度下降
20:10,10,504523,国庆前3天约5000万人次观影
20:11,1,4369479,Angelababy回应合照站位
20:11,2,2013986,吉林松原车祸轻型货车上16人死亡
20:11,3,1095072,黄渤 油埃福欧
20:11,4,801294,张常宁转球
20:11,5,709668,甘肃豹猫带4只幼崽巡山
20:11,6,694845,这个秋天这么玩
20:11,7,677443,章子怡评夺冠
20:11,8,547644,妈妈给装的行李箱后备箱
20:11,9,514010,诺贝尔生理学或医学奖揭晓
20:11,10,503965,特朗普曾两次短暂血氧饱和度下降
20:12,1,4383979,Angelababy回应合照站位
20:12,2,2016922,吉林松原车祸轻型货车上16人死亡
20:12,3,1099519,黄渤 油埃福欧
20:12,4,798671,张常宁转球
20:12,5,714586,甘肃豹猫带4只幼崽巡山
20:12,6,668478,章子怡评夺冠
20:12,7,549668,妈妈给装的行李箱后备箱
20:12,8,522544,诺贝尔生理学或医学奖揭晓
20:12,9,509061,特朗普曾两次短暂血氧饱和度下降
20:12,10,497526,国庆前3天约5000万人次观影
20:13,1,4387299,Angelababy回应合照站位
20:13,2,1248268,吉林松原车祸轻型货车上16人死亡
20:13,3,1097730,黄渤 油埃福欧
20:13,4,798581,张常宁转球
20:13,5,718795,甘肃豹猫带4只幼崽巡山
20:13,6,661485,章子怡评夺冠
20:13,7,551037,妈妈给装的行李箱后备箱
20:13,8,518448,诺贝尔生理学或医学奖揭晓
20:13,9,494593,特朗普曾两次短暂血氧饱和度下降
20:13,10,493337,国庆前3天约5000万人次观影
20:14,1,4392934,Angelababy回应合照站位
20:14,2,1308555,吉林松原车祸轻型货车上16人死亡
20:14,3,1097945,黄渤 油埃福欧
20:14,4,795857,张常宁转球
20:14,5,722029,甘肃豹猫带4只幼崽巡山
20:14,6,656207,章子怡评夺冠
20:14,7,551854,妈妈给装的行李箱后备箱
20:14,8,516082,诺贝尔生理学或医学奖揭晓
20:14,9,500231,特朗普曾两次短暂血氧饱和度下降
20:14,10,489611,国庆前3天约5000万人次观影
20:15,1,4399215,Angelababy回应合照站位
20:15,2,2022089,吉林松原车祸轻型货车上16人死亡
20:15,3,1092068,黄渤 油埃福欧
20:15,4,794417,张常宁转球
20:15,5,722466,甘肃豹猫带4只幼崽巡山
20:15,6,657278,章子怡评夺冠
20:15,7,553505,妈妈给装的行李箱后备箱
20:15,8,496708,诺贝尔生理学或医学奖揭晓
20:15,9,492593,特朗普曾两次短暂血氧饱和度下降
20:15,10,488739,国庆前3天约5000万人次观影
20:16,1,4352361,Angelababy回应合照站位
20:16,2,1731320,吉林松原车祸轻型货车上16人死亡
20:16,3,1076147,黄渤 油埃福欧
20:16,4,781216,张常宁转球
20:16,5,714824,甘肃豹猫带4只幼崽巡山
20:16,6,639982,章子怡评夺冠
20:16,7,547566,妈妈给装的行李箱后备箱
20:16,8,497275,诺贝尔生理学或医学奖揭晓
20:16,9,489060,特朗普曾两次短暂血氧饱和度下降
20:16,10,481674,国庆前3天约5000万人次观影
20:17,1,4382453,Angelababy回应合照站位
20:17,2,2270690,吉林松原车祸轻型货车上16人死亡
20:17,3,1078001,黄渤 油埃福欧
20:17,4,779627,张常宁转球
20:17,5,717301,甘肃豹猫带4只幼崽巡山
20:17,6,645519,章子怡评夺冠
20:17,7,551628,妈妈给装的行李箱后备箱
20:17,8,483297,诺贝尔生理学或医学奖揭晓
20:17,9,482002,特朗普曾两次短暂血氧饱和度下降
20:17,10,481183,国庆前3天约5000万人次观影
20:18,1,4390456,Angelababy回应合照站位
20:18,2,1141014,吉林松原车祸轻型货车上16人死亡
20:18,3,1076709,黄渤 油埃福欧
20:18,4,772292,张常宁转球
20:18,5,709669,甘肃豹猫带4只幼崽巡山
20:18,6,642869,章子怡评夺冠
20:18,7,551847,妈妈给装的行李箱后备箱
20:18,8,479450,诺贝尔生理学或医学奖揭晓
20:18,9,476982,特朗普曾两次短暂血氧饱和度下降
20:18,10,476871,国庆前3天约5000万人次观影
20:19,1,4393224,Angelababy回应合照站位
20:19,2,1244426,吉林松原车祸轻型货车上16人死亡
20:19,3,1074230,黄渤 油埃福欧
20:19,4,765729,张常宁转球
20:19,5,698105,甘肃豹猫带4只幼崽巡山
20:19,6,641545,章子怡评夺冠
20:19,7,549633,妈妈给装的行李箱后备箱
20:19,8,494251,诺贝尔生理学或医学奖揭晓
20:19,9,478926,特朗普曾两次短暂血氧饱和度下降
20:19,10,471621,国庆前3天约5000万人次观影
20:20,1,4388823,Angelababy回应合照站位
20:20,2,2589880,吉林松原车祸轻型货车上16人死亡
20:20,3,1071580,黄渤 油埃福欧
20:20,4,761993,张常宁转球
20:20,5,686643,甘肃豹猫带4只幼崽巡山
20:20,6,640748,章子怡评夺冠
20:20,7,541989,妈妈给装的行李箱后备箱
20:20,8,478512,诺贝尔生理学或医学奖揭晓
20:20,9,470987,特朗普曾两次短暂血氧饱和度下降
20:20,10,469335,国庆前3天约5000万人次观影
20:21,1,4378828,Angelababy回应合照站位
20:21,2,1403672,吉林松原车祸轻型货车上16人死亡
20:21,3,1073727,黄渤 油埃福欧
20:21,4,759885,张常宁转球
20:21,5,679793,甘肃豹猫带4只幼崽巡山
20:21,6,640256,章子怡评夺冠
20:21,7,542534,妈妈给装的行李箱后备箱
20:21,8,467664,诺贝尔生理学或医学奖揭晓
20:21,9,465192,特朗普曾两次短暂血氧饱和度下降
20:21,10,464613,国庆前3天约5000万人次观影
20:22,1,4373749,Angelababy回应合照站位
20:22,2,2663321,吉林松原车祸轻型货车上16人死亡
20:22,3,1072652,黄渤 油埃福欧
20:22,4,752363,张常宁转球
20:22,5,668869,甘肃豹猫带4只幼崽巡山
20:22,6,638107,章子怡评夺冠
20:22,7,537583,妈妈给装的行李箱后备箱
20:22,8,467106,诺贝尔生理学或医学奖揭晓
20:22,9,461455,特朗普曾两次短暂血氧饱和度下降
20:22,10,460376,国庆前3天约5000万人次观影
20:23,1,4373923,Angelababy回应合照站位
20:23,2,2662807,吉林松原车祸轻型货车上16人死亡
20:23,3,1073633,黄渤 油埃福欧
20:23,4,746382,张常宁转球
20:23,5,660611,甘肃豹猫带4只幼崽巡山
20:23,6,638127,章子怡评夺冠
20:23,7,537641,妈妈给装的行李箱后备箱
20:23,8,497611,诺贝尔生理学或医学奖揭晓
20:23,9,463894,特朗普曾两次短暂血氧饱和度下降
20:23,10,459752,国庆前3天约5000万人次观影
